row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
117,T0125,56390-09-1,C27H30ClNO11,579.98,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1.Cl,sanitized
118,T0126,364-98-7,C8H7ClN2O2S,230.67,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,sanitized
119,T0127,93479-97-1,C24H34N4O5S,490.62,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,sanitized
120,T0128,60643-86-9,C6H11NO2,129.16,C=CC(N)CCC(=O)O,sanitized
121,T0129,5578-73-4,C20H14ClNO4,367.78,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-],sanitized
122,T0130,57-64-7,C22H27N3O5,413.48,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=C(O)c1ccccc1O,sanitized
123,T0131,481-49-2,C37H38N2O6,606.71,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,sanitized
124,T0132,33419-42-0,C29H32O13,588.56,[H][C@@]12CO[C@@H](C)O[C@@]1([H])[C@H](O)[C@@H](O)[C@H](O[C@@H]1c3cc4c(cc3[C@@H](c3cc(OC)c(O)c(OC)c3)[C@@]3([H])C(=O)OC[C@]13[H])OCO4)O2,sanitized
125,T0133,91832-40-5,C14H13N5O5S2,395.41,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,sanitized
126,T0134,99011-02-6,C14H16N4,240.3,CC(C)Cn1cnc2c(N)nc3ccccc3c21,sanitized
127,T0135,979-32-8,C23H32O3,356.51,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,sanitized
128,T0136,987-78-0,C14H26N4O11P2,488.32,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,sanitized
129,T0137,85650-52-8,C17H19N3,265.35,CN1CCN2c3ncccc3Cc3ccccc3C2C1,sanitized
130,T0138,70797-11-4,C25H24N8O7S2,612.64,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,sanitized
131,T0139,89778-26-7,C26H28ClNO,405.96,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,sanitized
132,T0141,5575-21-3,C20H18N4O5S2,458.51,[H][C@]12SCC(C[n+]3ccc(C(N)=O)cc3)=C(C(=O)[O-])N1C(=O)[C@H]2NC(=O)Cc1cccs1,sanitized
133,T0142,138890-62-7,C12H21N3O5S3,383.51,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,sanitized
134,T0143,104344-23-2,C20H33NO6,383.49,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,sanitized
135,T0144,19368-18-4,C16H15NO3,269.3,Cc1cccc(C)c1NC(=O)c1ccccc1C(=O)O,sanitized
136,T0145,72509-76-3,C18H19Cl2NO4,384.25,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,sanitized
137,T0146,65899-73-2,C16H13Cl3N2OS,387.71,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,sanitized
138,T0147,14976-57-9,C25H30ClNO5,459.97,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,sanitized
139,T0150,3168/1/2,C15H22N2O4S,326.41,CC(O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,sanitized
140,T0151,119-41-5,C19H16O5,324.33,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,sanitized
141,T0152,380843-75-4,C26H29Cl2N5O3,530.45,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,sanitized
142,T0153,64224-21-1,C8H6N2S3,226.34,Cc1c(-c2cnccn2)ssc1=S,sanitized
143,T0154,152520-56-4,C22H25F2NO4·HCl,441.9,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,sanitized
144,T0155,74863-84-6,C23H36N6O5S,508.63,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,sanitized
145,T0156,119302-91-9,C32H53BrN2O4,609.68,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1.[Br-],sanitized
146,T0157,93793-83-0,C19H29ClN2O4,384.9,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl,sanitized
147,T0158,70476-82-3,C22H30Cl2N4O6,517.4,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,sanitized
148,T0159,52549-17-4,C15H13NO3,255.27,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,sanitized
149,T0160,68475-42-3,C10H7Cl2N3O,256.09,O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,sanitized
150,T0161,164579-32-2,C16H14F2N3NaO4S·3/2H2O,432.37,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.O.[Na+],sanitized
151,T0162,111974-69-7,C21H25N3O2S,383.51,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,sanitized
152,T0163,63675-72-9,C20H24N2O6,388.41,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],sanitized
153,T0164,61825-94-3,C8H14N2O4Pt,397.29,N[C@@H]1CCCC[C@H]1N.O=C1O[Pt]OC1=O,sanitized
154,T0165,34661-75-1,C20H29N5O3,387.48,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,sanitized
155,T0166,15500-66-0,C35H60Br2N2O4,732.67,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1.[Br-].[Br-],sanitized
156,T0167,42971-09-5,C22H26N2O2,350.45,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,sanitized
157,T0168,313-06-4,C26H36O3,396.56,C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2OC(=O)CCC1CCCC1,sanitized
158,T0169,77191-36-7,C14H18N2O2,246.3,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,sanitized
159,T0170,26472-47-9,C3H5O4P.Ca,176.12,[Ca+2].[H][C@]1(P(=O)([O-])[O-])O[C@@]1([H])C,sanitized
